Partenza: 44.3426836,11.6946734, Arrivo: 44.4093001,11.6693534, Distanza: 13 km
Partenza: 44.3533407,11.6887433, Arrivo: 44.3505034,11.7152214, Distanza: 4 km
Partenza: 44.3497455,11.7067066, Arrivo: 44.4467887,11.7723213, Distanza: 16 km
Partenza: 44.3596062,11.6903528, Arrivo: 44.4467887,11.7723213, Distanza: 15 km
Partenza: 44.3477961,11.7189385, Arrivo: 44.3382435,11.6915041, Distanza: 4 km
Partenza: 44.3426836,11.6946734, Arrivo: 44.3588232,11.713219, Distanza: 4 km
Partenza: 44.3419121,11.6715417, Arrivo: 44.3656781,11.7278663, Distanza: 12 km
Partenza: 44.3789882,11.7375127, Arrivo: 44.3533407,11.6887433, Distanza: 6 km
Partenza: 44.3789882,11.7375127, Arrivo: 44.4467887,11.7723213, Distanza: 11 km
Partenza: 44.3497455,11.7067066, Arrivo: 44.3382435,11.6915041, Distanza: 3 km
Partenza: 44.3426836,11.6946734, Arrivo: 44.4093001,11.6693534, Distanza: 13 km
Partenza: 44.3533407,11.6887433, Arrivo: 44.3505034,11.7152214, Distanza: 4 km
Partenza: 44.3497455,11.7067066, Arrivo: 44.4467887,11.7723213, Distanza: 16 km
Partenza: 44.3596062,11.6903528, Arrivo: 44.4467887,11.7723213, Distanza: 15 km
Partenza: 44.3477961,11.7189385, Arrivo: 44.3382435,11.6915041, Distanza: 4 km
Partenza: 44.3426836,11.6946734, Arrivo: 44.3588232,11.713219, Distanza: 4 km
Partenza: 44.3419121,11.6715417, Arrivo: 44.3656781,11.7278663, Distanza: 12 km
Partenza: 44.3789882,11.7375127, Arrivo: 44.3533407,11.6887433, Distanza: 6 km
Partenza: 44.3789882,11.7375127, Arrivo: 44.4467887,11.7723213, Distanza: 11 km
Partenza: 44.3497455,11.7067066, Arrivo: 44.3382435,11.6915041, Distanza: 3 km
Partenza: 44.3546937,11.7130719, Arrivo: 44.3137522,11.6311092, Distanza: 10 km
Partenza: 44.3947573,11.7012034, Arrivo: 44.3572467,11.7272009, Distanza: 9 km
Partenza: 44.3947573,11.7012034, Arrivo: 44.3596257,11.6896836, Distanza: 6 km
Partenza: 44.3947573,11.7012034, Arrivo: 44.3591627,11.6786187, Distanza: 7 km
Partenza: 44.3546937,11.7130719, Arrivo: 44.3137522,11.6311092, Distanza: 10 km
Partenza: 44.3947573,11.7012034, Arrivo: 44.3572467,11.7272009, Distanza: 9 km
Partenza: 44.3947573,11.7012034, Arrivo: 44.3596257,11.6896836, Distanza: 6 km
Partenza: 44.3947573,11.7012034, Arrivo: 44.3591627,11.6786187, Distanza: 7 km
Partenza: 44.3546937,11.7130719, Arrivo: 44.3572467,11.7272009, Distanza: 5 km
Partenza: 44.3947573,11.7012034, Arrivo: 44.3591627,11.6786187, Distanza: 7 km
Partenza: 44.4559285,11.7456211, Arrivo: 44.3862167,11.7404054, Distanza: 24 km
Partenza: 44.3546937,11.7130719, Arrivo: 44.3572467,11.7272009, Distanza: 5 km
Partenza: 44.3947573,11.7012034, Arrivo: 44.3591627,11.6786187, Distanza: 7 km
Partenza: 44.4559285,11.7456211, Arrivo: 44.3862167,11.7404054, Distanza: 24 km
Partenza: 44.3947573,11.7012034, Arrivo: 44.3137522,11.6311092, Distanza: 14 km
Partenza: 44.3546937,11.7130719, Arrivo: 44.3528834,11.6930715, Distanza: 2 km
Partenza: 44.3947573,11.7012034, Arrivo: 44.3300191,11.750367, Distanza: 20 km
Partenza: 44.3546937,11.7130719, Arrivo: 44.3947573,11.7012034, Distanza: 7 km
Partenza: 44.3546937,11.7130719, Arrivo: 44.3591627,11.6786187, Distanza: 3 km
Partenza: 44.3947573,11.7012034, Arrivo: 44.3137522,11.6311092, Distanza: 14 km
Partenza: 44.3546937,11.7130719, Arrivo: 44.3528834,11.6930715, Distanza: 2 km
Partenza: 44.3947573,11.7012034, Arrivo: 44.3300191,11.750367, Distanza: 20 km
Partenza: 44.3546937,11.7130719, Arrivo: 44.3947573,11.7012034, Distanza: 7 km
Partenza: 44.3546937,11.7130719, Arrivo: 44.3591627,11.6786187, Distanza: 3 km
